latitude,longitude,altitude,geometry,_id,title,location_name,sentiment_score,topic_index
42.924,125.143,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,西安,0.9548,2
28.249,113.075,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,长沙,0.9548,2
31.902,102.223,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,阿坝藏族羌族自治州,0.9548,2
40.993,113.126,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,乌兰察布,0.9548,2
30.052,101.96,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,甘孜藏族自治州,0.9548,2
25.502,119.786,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,平潭,0.9548,2
39.607,109.775,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,鄂尔多斯,0.9548,2
37.311,117.15,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,首尔,0.9548,2
36.666,117.022,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,汉庭酒店,0.9548,2
36.66,117.028,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,全季酒店,0.9548,2
36.67,116.983,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,莫泰,0.9548,2
36.681,117.008,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,如家,0.9548,2
